,track_name,popularity,album_url,playlist_uri,playlist_name,track_name_cleaned,key
0,007 (feat. Syd),51,https://i.scdn.co/image/ab67616d0000b273e5b0e926272b00540be8b443,37i9dQZF1DX7vZYLzFGQXc,Korea,007 feat Syd,007 feat Syd_Korea
1,0808,21,https://i.scdn.co/image/ab67616d0000b273a62ef819d0aa941dc694cc51,37i9dQZF1DX34s4fg4Zx3Z,Vietnam,0808,0808_Vietnam
2,1 Chút Thôi,16,https://i.scdn.co/image/ab67616d0000b273eb37f2df392951ebc7bda8c2,37i9dQZF1DX34s4fg4Zx3Z,Vietnam,1 Cht Thi,1 Cht Thi_Vietnam
3,10 Missed Calls,39,https://i.scdn.co/image/ab67616d0000b273f76a8c583a27929840dad82c,37i9dQZF1DWW4igXXl2Qkp,Hip-Hop,10 Missed Calls,10 Missed Calls_Hip-Hop
4,10/10,31,https://i.scdn.co/image/ab67616d0000b27317a73249750acade2e54b65a,37i9dQZF1DWT0upuUFtT7o,Indie,1010,1010_Indie
5,10%,25,https://i.scdn.co/image/ab67616d0000b273c90cd5fcc60430d582c5cc14,37i9dQZF1DX5R53BjnKBjk,Brasil,10,10_Brasil
6,1111,25,https://i.scdn.co/image/ab67616d0000b273ceade591db05efe330bd058a,37i9dQZF1DX4Xz5lDbaehp,2021,1111,1111_2021
7,17 Letters,24,https://i.scdn.co/image/ab67616d0000b273f4156df689d018fa1ff09729,37i9dQZF1DXdS3lvGe1GrT,Folk,17 Letters,17 Letters_Folk
8,18 (feat. Paloalto),19,https://i.scdn.co/image/ab67616d0000b273e53f2857833b06d368560acb,37i9dQZF1DX7vZYLzFGQXc,Korea,18 feat Paloalto,18 feat Paloalto_Korea
9,1975,30,https://i.scdn.co/image/ab67616d0000b27381c963c8f817da5fe5e8cf1c,37i9dQZF1DX8pdK1PVpBQz,NZ,1975,1975_NZ
10,1999 She,48,https://i.scdn.co/image/ab67616d0000b273ffd047138be8b56b4d547162,37i9dQZF1DXbDSHGzTpRHX,2019,1999 She,1999 She_2019
11,19,39,https://i.scdn.co/image/ab67616d0000b2731d20dd2050fb5444a03968ed,37i9dQZF1DWW4igXXl2Qkp,Hip-Hop,19,19_Hip-Hop
12,19,33,https://i.scdn.co/image/ab67616d0000b2730e7d4c3609a49d73fcffe281,37i9dQZF1DX7AqyNZFu97s,IE,19,19_IE
13,2 the Max,43,https://i.scdn.co/image/ab67616d0000b273d9b382981a51a1dcf73a086e,37i9dQZF1DWW4igXXl2Qkp,Hip-Hop,2 the Max,2 the Max_Hip-Hop
14,2-Lane Cruise,29,https://i.scdn.co/image/ab67616d0000b27327d60e73683197938fa310ab,37i9dQZF1DWYUfsq4hxHWP,Country,2-Lane Cruise,2-Lane Cruise_Country
15,+234,46,https://i.scdn.co/image/ab67616d0000b2738afeb30784f3e37aa146cd31,37i9dQZF1DX5C8ObEZ48JQ,,234,234_
16,23,61,https://i.scdn.co/image/ab67616d0000b2733a55d0c85828c708f9c9e59b,37i9dQZF1DX4Xz5lDbaehp,2021,23,23_2021
17,24/48,46,https://i.scdn.co/image/ab67616d0000b2735b0e3466e31e55276cc5e94c,37i9dQZF1DX5C8ObEZ48JQ,,2448,2448_
18,3 Pound Pints,37,https://i.scdn.co/image/ab67616d0000b27310b05f12508bdd6705d1b8d8,37i9dQZF1DX7AqyNZFu97s,IE,3 Pound Pints,3 Pound Pints_IE
19,30 Ngày Lạnh,20,https://i.scdn.co/image/ab67616d0000b273b717beebbe664c56597e6503,37i9dQZF1DX34s4fg4Zx3Z,Vietnam,30 Ngy Lnh,30 Ngy Lnh_Vietnam
20,333,47,https://i.scdn.co/image/ab67616d0000b27396c954cfd86edfff562aa43b,37i9dQZF1DX6bBjHfdRnza,Dance,333,333_Dance
21,360 al Mundo,26,https://i.scdn.co/image/ab67616d0000b2730c714729678c2fe4428674c2,37i9dQZF1DXagUeYbNSnOA,Latin,360 al Mundo,360 al Mundo_Latin
22,40s N 9s,65,https://i.scdn.co/image/ab67616d0000b273ffd2503a2a4f93fd19d7535b,37i9dQZF1DWW4igXXl2Qkp,Hip-Hop,40s N 9s,40s N 9s_Hip-Hop
23,472,29,https://i.scdn.co/image/ab67616d0000b273222a697eaeadc8e0eb4696f4,37i9dQZF1DWYUfsq4hxHWP,Country,472,472_Country
24,4WD,37,https://i.scdn.co/image/ab67616d0000b273d4222a39ff82205e1cb8b63c,37i9dQZF1DWYUfsq4hxHWP,Country,4WD,4WD_Country
25,5 MO' MINUTES,48,https://i.scdn.co/image/ab67616d0000b27360e78c26c7df94c4de68c82c,37i9dQZF1DWUFAJPVM3HTX,R&B,5 MO' MINUTES,5 MO' MINUTES_R&B
26,500 Days of Summer,50,https://i.scdn.co/image/ab67616d0000b2739937cfa44ce9890277ab29d6,37i9dQZF1DXbDSHGzTpRHX,2019,500 Days of Summer,500 Days of Summer_2019
27,555,27,https://i.scdn.co/image/ab67616d0000b273fc859b5a8ae5f633c032bea8,37i9dQZF1DX78toxP7mOaJ,Rock,555,555_Rock
28,5778,40,https://i.scdn.co/image/ab67616d0000b27318e234dd7db715c5e23000c1,37i9dQZF1DX2ddCYH6QIK5,GSA,5778,5778_GSA
29,5/9,26,https://i.scdn.co/image/ab67616d0000b27352a433be57d2a9194d04de9f,37i9dQZF1DXcWL5K0oNHcG,Jazz,59,59_Jazz
30,685,41,https://i.scdn.co/image/ab67616d0000b27379ccb2a64eefad9e1899ff1d,37i9dQZF1DX8pdK1PVpBQz,NZ,685,685_NZ
31,9 to 5,17,https://i.scdn.co/image/ab67616d0000b273b6bd0a56be25de87a518c52f,37i9dQZF1DX78toxP7mOaJ,Rock,9 to 5,9 to 5_Rock
32,90's Green Screen,44,https://i.scdn.co/image/ab67616d0000b273bfc550f3289822c144d96fda,37i9dQZF1DXbDSHGzTpRHX,2019,90's Green Screen,90's Green Screen_2019
33,95 DEGREES,35,https://i.scdn.co/image/ab67616d0000b2736e5b79f433faae0388fe26dd,37i9dQZF1DX3u9TSHqpdJC,Pop,95 DEGREES,95 DEGREES_Pop
34,A Fling,31,https://i.scdn.co/image/ab67616d0000b273d41bba1c4b9e92048bff0c76,37i9dQZF1DXagUeYbNSnOA,Latin,A Fling,A Fling_Latin
35,A Love Supreme,28,https://i.scdn.co/image/ab67616d0000b273a4d46b9a7a7527d22396f380,37i9dQZF1DX8C585qnMYHP,Experimental,A Love Supreme,A Love Supreme_Experimental
36,A Month Ago,30,https://i.scdn.co/image/ab67616d0000b2734a6f53919b01c3f9a077ab58,37i9dQZF1DXdS3lvGe1GrT,Folk,A Month Ago,A Month Ago_Folk
37,A Nossa Bossa,27,https://i.scdn.co/image/ab67616d0000b2732edf8f9f00aed6632463de9f,37i9dQZF1DX5R53BjnKBjk,Brasil,A Nossa Bossa,A Nossa Bossa_Brasil
38,A Phase,31,https://i.scdn.co/image/ab67616d0000b273ae86543f22d0847e763cad1f,37i9dQZF1DXdS3lvGe1GrT,Folk,A Phase,A Phase_Folk
39,A ROSA DOS VENTOS,31,https://i.scdn.co/image/ab67616d0000b2738c0b297303fedadd99da9e9c,37i9dQZF1DX5R53BjnKBjk,Brasil,A ROSA DOS VENTOS,A ROSA DOS VENTOS_Brasil
40,A Song About the Sun,47,https://i.scdn.co/image/ab67616d0000b273211f45178d98b4a661e64d61,37i9dQZF1DX4Xz5lDbaehp,2021,A Song About the Sun,A Song About the Sun_2021
41,AGUA CON SAL,16,https://i.scdn.co/image/ab67616d0000b273155bf5bdee33d4c9cc9efbb3,37i9dQZF1DXagUeYbNSnOA,Latin,AGUA CON SAL,AGUA CON SAL_Latin
42,AHHHH!,46,https://i.scdn.co/image/ab67616d0000b273d403216dabb61dd95ccc2974,37i9dQZF1DX4Xz5lDbaehp,2021,AHHHH!,AHHHH!_2021
43,AIIWO,19,https://i.scdn.co/image/ab67616d0000b2732fd10fb7852f5203da6ab0bc,37i9dQZF1DX2ddCYH6QIK5,GSA,AIIWO,AIIWO_GSA
44,AIR,22,https://i.scdn.co/image/ab67616d0000b273b0c740dc9dbf141cab9283aa,37i9dQZF1DX8pdK1PVpBQz,NZ,AIR,AIR_NZ
45,ALCOHOL,22,https://i.scdn.co/image/ab67616d0000b2736b8e6fc7f51e5d3e9671f817,37i9dQZF1DXagUeYbNSnOA,Latin,ALCOHOL,ALCOHOL_Latin
46,ALWAYS IN MY MIND :),31,https://i.scdn.co/image/ab67616d0000b2732f2bed9b51efb0040d67aeea,37i9dQZF1DX6bBjHfdRnza,Dance,ALWAYS IN MY MIND,ALWAYS IN MY MIND_Dance
47,ALÔ,18,https://i.scdn.co/image/ab67616d0000b2730dfe26b998afa8fd8465b6ac,37i9dQZF1DX5R53BjnKBjk,Brasil,AL,AL_Brasil
48,ANGD : Be that as it may,18,https://i.scdn.co/image/ab67616d0000b273dc5d24c121bec2acf5eec87a,37i9dQZF1DX7vZYLzFGQXc,Korea,ANGD  Be that as it may,ANGD  Be that as it may_Korea
49,APPLY THE PRESSURE,32,https://i.scdn.co/image/ab67616d0000b273e5c7e86b9405a99a6e980613,37i9dQZF1DX8pdK1PVpBQz,NZ,APPLY THE PRESSURE,APPLY THE PRESSURE_NZ
50,Aaron Carl Lives On,37,https://i.scdn.co/image/ab67616d0000b273ba4de9eac2f5983cc5fce1ff,37i9dQZF1DX6bBjHfdRnza,Dance,Aaron Carl Lives On,Aaron Carl Lives On_Dance
51,Acid Feelings,22,https://i.scdn.co/image/ab67616d0000b2739daaf11ce4ed8c8de6679f5f,37i9dQZF1DX2ddCYH6QIK5,GSA,Acid Feelings,Acid Feelings_GSA
52,Acércate,28,https://i.scdn.co/image/ab67616d0000b2738729408b6eeb948404d36766,37i9dQZF1DXagUeYbNSnOA,Latin,Acrcate,Acrcate_Latin
53,Act Right,26,https://i.scdn.co/image/ab67616d0000b273f9849843d28f19083a971655,37i9dQZF1DX7AqyNZFu97s,IE,Act Right,Act Right_IE
54,Act Up,56,https://i.scdn.co/image/ab67616d0000b2733ebb2e5fa9074679a85d7cc5,37i9dQZF1DX4Xz5lDbaehp,2021,Act Up,Act Up_2021
55,Addicted,32,https://i.scdn.co/image/ab67616d0000b273a0562021bb3037f5bb7656f2,37i9dQZF1DX3u9TSHqpdJC,Pop,Addicted,Addicted_Pop
56,Addicted,22,https://i.scdn.co/image/ab67616d0000b273f214670182a073924ce72d28,37i9dQZF1DX78toxP7mOaJ,Rock,Addicted,Addicted_Rock
57,Aduke,11,https://i.scdn.co/image/ab67616d0000b273c2ef847c6c33c8793d5b48ce,37i9dQZF1DX5C8ObEZ48JQ,,Aduke,Aduke_
58,Adulthood Anthem,56,https://i.scdn.co/image/ab67616d0000b27354b1bafe5b14cc8ae746b25c,37i9dQZF1DX5C8ObEZ48JQ,,Adulthood Anthem,Adulthood Anthem_
59,Afterburn,34,https://i.scdn.co/image/ab67616d0000b27341512b98bb838630198731a9,37i9dQZF1DX8C585qnMYHP,Experimental,Afterburn,Afterburn_Experimental
60,Again After,34,https://i.scdn.co/image/ab67616d0000b27311fe37b1c23815766cb7e79e,37i9dQZF1DWT0upuUFtT7o,Indie,Again After,Again After_Indie
61,Agosto,22,https://i.scdn.co/image/ab67616d0000b27300e7a85a3e763bc8e94287f9,37i9dQZF1DX0KBgD4Jf5tY,Italia,Agosto,Agosto_Italia
62,Aimee,16,https://i.scdn.co/image/ab67616d0000b273cc73988c17a54a37b4f53ab8,37i9dQZF1DX2ddCYH6QIK5,GSA,Aimee,Aimee_GSA
63,Aleïa,26,https://i.scdn.co/image/ab67616d0000b273adf0997dc4e5ed265a2ae4bd,37i9dQZF1DXcWL5K0oNHcG,Jazz,Alea,Alea_Jazz
64,Alicia,23,https://i.scdn.co/image/ab67616d0000b2732c76f0b3719090e0834a755a,37i9dQZF1DWVhn3qoy98w6,España,Alicia,Alicia_España
65,Alive with you (feat. SFC.JGR),39,https://i.scdn.co/image/ab67616d0000b2733006b610ad0323ffa6377a12,37i9dQZF1DX7vZYLzFGQXc,Korea,Alive with you feat SFCJGR,Alive with you feat SFCJGR_Korea
